,title,type,year,age,runtime,genres,production_countries,imdb_score,imdb_votes
214,Maya Memsaab,Movie,1993,PG-13,126,"romance, drama, thriller",IN,5.4,2177
215,Out of Life,Movie,1991,No Rating,97,"war, drama, crime, european","IT, LB, BE, FR",6.9,365
216,Duplicate,Movie,1998,PG,165,"comedy, action, crime, thriller",IN,5.5,7557
217,Govindha Govindha,Movie,1993,No Rating,145,"drama, action, crime",IN,6.6,351
218,Damini,Movie,1993,No Rating,180,"drama, crime",IN,7.8,3490
219,English Babu Desi Mem,Movie,1996,PG,172,"romance, comedy, drama",IN,4.5,2322
220,Before the Flying Circus,Movie,2000,No Rating,55,"comedy, documentation",GB,7.3,161
221,Sam Kinison: Live in Vegas,Movie,1991,No Rating,72,"comedy, music, documentation",US,6.6,272
222,Anjaam,Movie,1994,No Rating,146,"thriller, romance, drama",IN,6.6,6465
223,Mann,Movie,1999,No Rating,174,"drama, romance",IN,6.1,5413
224,Monty Python: Live at Aspen,Movie,1998,No Rating,58,"comedy, documentation","US, GB",7.8,1092
225,Sinbad: Afros and Bellbottoms,Movie,1993,PG-13,59,"comedy, documentation",US,7.8,166
226,The Other,Movie,1999,No Rating,106,"drama, european, romance","EG, FR",5.9,987
227,Sinbad: Son of a Preacher Man,Movie,1996,No Rating,56,"comedy, documentation",US,6.7,115
228,Children of Shatila,Movie,1999,No Rating,50,"documentation, history",LB,8.2,74
229,Gumrah,Movie,1993,No Rating,149,"action, crime, drama, thriller",IN,6.1,784
230,The Emigrant,Movie,1994,No Rating,129,drama,"EG, FR",6.5,998
231,Yodha,Movie,1991,No Rating,142,"drama, action",IN,4.5,198
232,Avvai Shanmugi,Movie,1996,PG-13,160,"drama, comedy",IN,7.9,2528
233,Minsara Kanavu,Movie,1997,G,145,"comedy, drama, romance",IN,6.7,1212
234,Chronicle of a Disappearance,Movie,1996,No Rating,88,drama,"US, FR, DE, PS",6.9,718
235,Yaar Gaddar,Movie,1994,No Rating,147,"crime, action, drama",IN,3.6,142
236,Sinbad: Nothin' but the Funk,Movie,1998,No Rating,55,"comedy, documentation",US,6.2,65
237,Dushmani,Movie,1995,No Rating,156,"romance, action, drama",IN,5.0,248
238,Fiza,Movie,2000,No Rating,170,"drama, romance, action, crime",IN,6.0,4168
239,Hello Brother,Movie,1999,No Rating,131,"romance, action, comedy, fantasy",IN,4.6,4230
240,Have You Ever Seen Fireflies? - Theatre Play,Movie,1999,No Rating,118,"drama, comedy",TR,,0
241,Shikari,Movie,1991,No Rating,162,"drama, action","IN, SU",5.9,66
242,One Last Shot,Movie,1998,No Rating,30,,,,0
243,Breaking Bad,Show,2008,TV-MA,48,"drama, thriller, crime",US,9.5,1727694
244,The Walking Dead,Show,2010,TV-MA,46,"action, drama, scifi, thriller, horror",US,8.2,945125
